fecha,hora,compra,venta,fuente
2025-04-17,20:55:05,3.708,3.742,Kambista
2025-04-17,20:55:12,3.71,3.745,Tkambio
2025-04-17,20:55:13,3.7045,3.7385,CambioSeguro
2025-04-17,20:55:13,3.7045,3.7385,TuCambista
2025-04-17,20:55:17,3.708,3.742,Kambista
2025-04-17,20:55:24,3.71,3.745,Tkambio
2025-04-17,20:55:25,3.7045,3.7385,CambioSeguro
2025-04-17,20:55:25,3.7045,3.7385,TuCambista
2025-04-17,20:55:40,3.708,3.742,Kambista
2025-04-17,20:55:47,3.71,3.745,Tkambio
2025-04-17,20:55:47,3.7045,3.7385,CambioSeguro
2025-04-17,20:55:48,3.7045,3.7385,TuCambista
2025-04-17,20:55:52,3.708,3.742,Kambista
2025-04-17,20:55:59,3.71,3.745,Tkambio
2025-04-17,20:55:59,3.7045,3.7385,CambioSeguro
2025-04-17,20:56:00,3.7045,3.7385,TuCambista
2025-04-18,02:32:54,3.708,3.742,Kambista
2025-04-18,02:32:57,3.7045,3.7385,CambioSeguro
2025-04-18,02:32:58,3.7045,3.7385,TuCambista
2025-04-18,02:34:35,3.708,3.742,Kambista
2025-04-18,02:34:38,3.7045,3.7385,CambioSeguro
2025-04-18,02:34:39,3.7045,3.7385,TuCambista
2025-04-18,02:35:42,3.708,3.742,Kambista
2025-04-18,02:35:46,3.7045,3.7385,CambioSeguro
2025-04-18,02:35:47,3.7045,3.7385,TuCambista
2025-04-18,02:36:51,3.708,3.742,Kambista
2025-04-18,02:36:53,3.7045,3.7385,CambioSeguro
2025-04-18,02:36:54,3.7045,3.7385,TuCambista
2025-04-18,02:37:58,3.708,3.742,Kambista
2025-04-18,02:38:01,3.7045,3.7385,CambioSeguro
2025-04-18,02:38:02,3.7045,3.7385,TuCambista
2025-04-18,02:39:05,3.708,3.742,Kambista
2025-04-18,02:39:08,3.7045,3.7385,CambioSeguro
2025-04-18,02:39:09,3.7045,3.7385,TuCambista
2025-04-18,02:40:13,3.708,3.742,Kambista
2025-04-18,02:40:15,3.7045,3.7385,CambioSeguro
2025-04-18,02:40:16,3.7045,3.7385,TuCambista
2025-04-18,02:41:20,3.708,3.742,Kambista
2025-04-18,02:41:22,3.7045,3.7385,CambioSeguro
2025-04-18,02:41:23,3.7045,3.7385,TuCambista
2025-04-18,02:42:27,3.708,3.742,Kambista
2025-04-18,02:42:29,3.7045,3.7385,CambioSeguro
2025-04-18,02:42:30,3.7045,3.7385,TuCambista
2025-04-18,02:43:34,3.708,3.742,Kambista
2025-04-18,02:43:36,3.7045,3.7385,CambioSeguro
2025-04-18,02:43:37,3.7045,3.7385,TuCambista
2025-04-18,02:44:41,3.708,3.742,Kambista
2025-04-18,02:44:43,3.7045,3.7385,CambioSeguro
2025-04-18,02:44:44,3.7045,3.7385,TuCambista
2025-04-18,02:45:48,3.708,3.742,Kambista
2025-04-18,02:45:50,3.7045,3.7385,CambioSeguro
2025-04-18,02:45:51,3.7045,3.7385,TuCambista
2025-04-18,02:46:55,3.708,3.742,Kambista
2025-04-18,02:46:57,3.7045,3.7385,CambioSeguro
2025-04-18,02:46:58,3.7045,3.7385,TuCambista
2025-04-18,02:48:02,3.708,3.742,Kambista
2025-04-18,02:48:04,3.7045,3.7385,CambioSeguro
2025-04-18,02:48:05,3.7045,3.7385,TuCambista
2025-04-18,02:49:08,3.708,3.742,Kambista
2025-04-18,02:49:11,3.7045,3.7385,CambioSeguro
2025-04-18,02:49:12,3.7045,3.7385,TuCambista
2025-04-18,02:50:16,3.708,3.742,Kambista
2025-04-18,02:50:18,3.7045,3.7385,CambioSeguro
2025-04-18,02:50:19,3.7045,3.7385,TuCambista
2025-04-18,02:51:23,3.708,3.742,Kambista
2025-04-18,02:51:25,3.7045,3.7385,CambioSeguro
2025-04-18,02:51:26,3.7045,3.7385,TuCambista
2025-04-18,02:52:29,3.708,3.742,Kambista
2025-04-18,02:52:32,3.7045,3.7385,CambioSeguro
2025-04-18,02:52:32,3.7045,3.7385,TuCambista
